,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
2941,181600,181600,Pinus elliotti,3509896,ARIZ,,63d30d08-66e2-4f19-89fa-2be7a22b4653,PreservedSpecimen,Thelephora terrestris,Thelephora,313522,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:63d30d08-66e2-4f19-89fa-2be7a22b4653,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2957,219474,219474,Pinus elliotti,2330830,ARIZ,,e00bfff3-e6fe-468c-abaa-ba1a3f4f55a2,PreservedSpecimen,Tomentella asperula,Tomentella,189869,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:e00bfff3-e6fe-468c-abaa-ba1a3f4f55a2,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2958,219488,219488,Pinus elliotti,2330816,ARIZ,,31820b78-4167-4727-aa16-e2e477dee508,PreservedSpecimen,Tomentella bryophila,Tomentella,189871,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:31820b78-4167-4727-aa16-e2e477dee508,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2959,219468,219468,Pinus elliotti,2330836,ARIZ,,933c83b8-b010-4ee6-b675-92f6a3414835,PreservedSpecimen,Tomentella sublilacina,Tomentella,541491,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:933c83b8-b010-4ee6-b675-92f6a3414835,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2960,219469,219469,Pinus elliotti,2330835,ARIZ,,e2380831-27a0-4151-b7a5-a248a81511f8,PreservedSpecimen,Tomentella sublilacina,Tomentella,541491,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:e2380831-27a0-4151-b7a5-a248a81511f8,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2961,219478,219478,Pinus elliotti,2330826,ARIZ,,d53bade3-30e4-4bb1-8455-0819fbf62f8e,PreservedSpecimen,Tomentella sublilacina,Tomentella,541491,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:d53bade3-30e4-4bb1-8455-0819fbf62f8e,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2962,219486,219486,Pinus elliotti,2330818,ARIZ,,77ff6546-0181-4ee8-9f3f-3fd0d16a9977,PreservedSpecimen,Tomentella umbrinospora,Tomentella,541512,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:77ff6546-0181-4ee8-9f3f-3fd0d16a9977,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2964,191305,191305,Pinus elliotti,3367610,ARIZ,,13254266-f9ae-4bfc-88b1-c5e6a286569d,PreservedSpecimen,Trametes hirsuta,Trametes,189937,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:13254266-f9ae-4bfc-88b1-c5e6a286569d,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2965,220267,220267,Pinus elliotti,2330035,ARIZ,,35a99ddb-b09d-4000-8f54-973ba50a66e9,PreservedSpecimen,Trametes hirsuta,Trametes,189937,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:35a99ddb-b09d-4000-8f54-973ba50a66e9,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2973,219435,219435,Pinus elliotti,2330869,ARIZ,,dfb5c4c8-8932-461b-88ba-3ed11c4739fa,PreservedSpecimen,Trechispora,Trechispora,10483,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:dfb5c4c8-8932-461b-88ba-3ed11c4739fa,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
