,spec.name,Old.name,scientificName,Fuzzy.dist,taxonRank,taxonomicStatus,manual name,manual.auth
747,Petalostemon candidum,Petalostemon candidus,Dalea candida,1,species,Accepted,,
1139,Petalostemon purpureum,Petalostemon purpureus,Dalea purpurea,1,species,Accepted,,
719,Petalostemum purpureum,Petalostemon purpureus,Dalea purpurea,3,species,Accepted,,
688,Petesides spurius,,Petasites spurius,2,species,Accepted,,
201,Peutstemon venustus,,Penstemon venustus,2,species,Accepted,,
782,Phammus alnifolia,,Rhamnus alnifolia,2,species,Accepted,,
1122,Phaseoli vulgaris,,Phaseolus vulgaris,2,species,Accepted,,
1123,Phaseolorum hortorum,Phaeolorum,Carex,10,genus,Accepted,,
149,Phylacca decandra,Phytolacca decandra,Phytolacca americana,2,species,Accepted,,
196,Phyrma leptostachya,,Phryma leptostachya,2,species,Accepted,,
209,Pirolae rotundifoliae,,Pyrola rotundifolia,3,species,Accepted,,
249,Pirus malus,Pyrus malus,Malus domestica,1,species,Accepted,,
259,Pirus meridionalis,Pyrus meridionalis,Aria graeca,1,species,Accepted,,
567,Pithecolobii saman,Pithecolobium saman,Samanea saman,2,species,Accepted,,
136,Pithecolobium dulce,Pithecollobium dulce,Pithecellobium dulce,1,species,Accepted,,
915,Pithecolobium platylobum,Pithecellobium platylobum,Havardia platyloba,2,species,Accepted,,
917,Pithecolobium unguis-cati,,Pithecellobium unguis-cati,2,species,Accepted,,
379,Plantago majoris,,Plantago major,2,species,Accepted,,
946,Plantgginis lanceolata,Manulea plantaginis,Cromidon plantaginis,17,species,Accepted,,
578,Platani occidentalis,,Platanus occidentalis,2,species,Accepted,,
393,Platani orientalis,,Platanus orientalis,2,species,Accepted,,
935,Plenis aquilina,Pteris aquilina,Pteridium aquilinum,2,species,Accepted,,
601,Plutonus occidentalis,,Platanus occidentalis,2,species,Accepted,,
903,Poae quinquedens,,Poa,13,genus,Accepted,,
316,Podocarpi macrophylli,,Podocarpus macrophyllus,4,species,Accepted,,
178,Polygonae convolvuli,,Polygonum convolvuliforme,7,species,Unchecked,,
1128,Polygonum auriculare,,Polygonum aviculare,2,species,Accepted,,
179,Polygonum hydropiperis,Polygonum hydropiper,Persicaria hydropiper,2,species,Accepted,,
524,Polygonum spergulariaeforme,,Polygonum spergulariiforme,2,species,Accepted,,
738,Polytrichum juniperum,,Polytrichum juniperinum,2,species,Accepted,,
513,Popula alba,,Populus alba,2,species,Accepted,,
526,Populus anomala,,Populus,8,genus,Accepted,,
139,Pruno cerasi,,Prunus cerasia,3,species,Accepted,,
1178,Pruno spinosa,,Prunus spinosa,2,species,Accepted,,
1130,Psoroleae lanceolata,Psoralea lanceolata,Ladeania lanceolata,2,species,Accepted,,
1007,Pteride aquilina,Pteris aquilina,Pteridium aquilinum,2,species,Accepted,,
154,Ptilona virgata,Ptiloria virgata,Stephanomeria virgata  subsp. virgata,2,subspecies,Accepted,,
1112,Ranunculus calthaeflorus,Ranunculus calthiflorus,Ranunculus inamoenus,2,species,Accepted,,
684,Rhamnus betulaefolia,Rhamnus betulifolia,Frangula betulifolia,2,species,Accepted,,
